T27,Water supply and sanitation services,,,,,
795,Turkmenistan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",72.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",81.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",85.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",90.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",97.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",92.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
795,Turkmenistan,2022,"Safely managed drinking water sources, total (Proportion of population with access)",94.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",46.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",46.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",55.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2022,"Safely managed drinking water sources, total (Proportion of population with access)",47.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
796,Turks and Caicos Islands,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",34.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",10.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2010,"Safely managed drinking water sources, total (Proportion of population with access)",8.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",37.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",51.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",43.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",10.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",5.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2015,"Safely managed drinking water sources, total (Proportion of population with access)",8.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",47.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",40.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",10.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",5.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2022,"Safely managed drinking water sources, total (Proportion of population with access)",8.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",42.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
798,Tuvalu,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",37.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",28.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",3.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2010,"Safely managed drinking water sources, total (Proportion of population with access)",8.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",15.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",35.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",5.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2015,"Safely managed drinking water sources, total (Proportion of population with access)",12.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",16.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",45.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",9.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2022,"Safely managed drinking water sources, total (Proportion of population with access)",18.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
800,Uganda,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",90.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",71.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2010,"Safely managed drinking water sources, total (Proportion of population with access)",84.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",51.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",88.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",89.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2015,"Safely managed drinking water sources, total (Proportion of population with access)",88.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",60.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",64.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",88.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",86.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2022,"Safely managed drinking water sources, total (Proportion of population with access)",87.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",68.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
804,Ukraine,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",71.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
784,United Arab Emirates,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",97.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",98.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2022,"Safely managed drinking water sources, total (Proportion of population with access)",99.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
826,United Kingdom,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",98.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",22.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",2.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2010,"Safely managed drinking water sources, total (Proportion of population with access)",7.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",13.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",16.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",23.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",2.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2015,"Safely managed drinking water sources, total (Proportion of population with access)",9.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",29.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",20.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",25.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",3.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2022,"Safely managed drinking water sources, total (Proportion of population with access)",11.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
834,United Rep. of Tanzania,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",25.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",96.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",97.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",97.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
840,United States of America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",97.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
