T02,"Population, density and surface area",,,,,
826,United Kingdom,2024,Population aged 60+ years old (percentage),25.5,"Projected estimate (medium fertility variant).;Refers to the United Kingdom of Great Britain and Northern Ireland. For statistical purposes, the data for United Kingdom do not include Anguilla, Bermuda, British Virgin Islands, Cayman Islands, Channel Islands, Falkland Islands (Malvinas), Gibraltar, Isle of Man, Montserrat, Saint Helena, Turks and Caicos Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
826,United Kingdom,2024,Population density,284.8,"Projected estimate (medium fertility variant).;Refers to the United Kingdom of Great Britain and Northern Ireland. For statistical purposes, the data for United Kingdom do not include Anguilla, Bermuda, British Virgin Islands, Cayman Islands, Channel Islands, Falkland Islands (Malvinas), Gibraltar, Isle of Man, Montserrat, Saint Helena, Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2010,Population mid-year estimates (millions),44.76,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2010,Population mid-year estimates for males (millions),22.07,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2010,Population mid-year estimates for females (millions),22.69,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2010,Sex ratio (males per 100 females),97.3,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2010,Population aged 0 to 14 years old (percentage),45.3,Including Zanzibar.;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2010,Population aged 60+ years old (percentage),4.5,Including Zanzibar.;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2010,Population density,50.5,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2015,Population mid-year estimates (millions),52.02,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2015,Population mid-year estimates for males (millions),25.69,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2015,Population mid-year estimates for females (millions),26.33,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2015,Sex ratio (males per 100 females),97.6,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2015,Population aged 0 to 14 years old (percentage),44.5,Including Zanzibar.;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2015,Population aged 60+ years old (percentage),4.6,Including Zanzibar.;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2015,Population density,58.7,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2022,Population mid-year estimates (millions),64.71,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2022,Population mid-year estimates for males (millions),32.07,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2022,Population mid-year estimates for females (millions),32.65,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2022,Sex ratio (males per 100 females),98.2,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2022,Population aged 0 to 14 years old (percentage),42.9,Calculated by the UN Statistics Division.;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2022,Population aged 60+ years old (percentage),4.5,Calculated by the UN Statistics Division.;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2022,Population density,73.1,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2022,Surface area (thousand km2),947,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
834,United Rep. of Tanzania,2024,Population mid-year estimates (millions),68.56,Projected estimate (medium fertility variant).;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2024,Population mid-year estimates for males (millions),33.98,Projected estimate (medium fertility variant).;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2024,Population mid-year estimates for females (millions),34.58,Projected estimate (medium fertility variant).;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
834,United Rep. of Tanzania,2024,Sex ratio (males per 100 females),98.3,Projected estimate (medium fertility variant).;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2024,Population aged 0 to 14 years old (percentage),42.5,Projected estimate (medium fertility variant).;Including Zanzibar.;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2024,Population aged 60+ years old (percentage),4.5,Projected estimate (medium fertility variant).;Including Zanzibar.;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
834,United Rep. of Tanzania,2024,Population density,77.4,Projected estimate (medium fertility variant).;Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2010,Population mid-year estimates (millions),311.06,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2010,Population mid-year estimates for males (millions),155.16,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2010,Population mid-year estimates for females (millions),155.91,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2010,Sex ratio (males per 100 females),99.5,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2010,Population aged 0 to 14 years old (percentage),19.7,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2010,Population aged 60+ years old (percentage),18.3,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2010,Population density,34.0,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2015,Population mid-year estimates (millions),326.13,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2015,Population mid-year estimates for males (millions),163.46,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2015,Population mid-year estimates for females (millions),162.67,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2015,Sex ratio (males per 100 females),100.5,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2015,Population aged 0 to 14 years old (percentage),19.2,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2015,Population aged 60+ years old (percentage),20.2,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2015,Population density,35.7,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2022,Population mid-year estimates (millions),341.53,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2022,Population mid-year estimates for males (millions),171.67,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2022,Population mid-year estimates for females (millions),169.86,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2022,Sex ratio (males per 100 females),101.1,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2022,Population aged 0 to 14 years old (percentage),17.9,"Calculated by the UN Statistics Division.;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2022,Population aged 60+ years old (percentage),23.2,"Calculated by the UN Statistics Division.;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2022,Population density,37.3,"For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2022,Surface area (thousand km2),"9,834",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
840,United States of America,2024,Population mid-year estimates (millions),345.43,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2024,Population mid-year estimates for males (millions),173.55,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2024,Population mid-year estimates for females (millions),171.88,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
840,United States of America,2024,Sex ratio (males per 100 females),101.0,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2024,Population aged 0 to 14 years old (percentage),17.3,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2024,Population aged 60+ years old (percentage),24.2,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
840,United States of America,2024,Population density,37.8,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include American Samoa, Guam, Northern Mariana Islands, Puerto Rico, and United States Virgin Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2010,Population mid-year estimates (millions),0.11,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2010,Population mid-year estimates for males (millions),0.05,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2010,Population mid-year estimates for females (millions),0.06,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2010,Sex ratio (males per 100 females),91.6,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2010,Population aged 0 to 14 years old (percentage),20.8,"For statistical purposes, the data for United States of America do not include this area.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2010,Population aged 60+ years old (percentage),20.6,"For statistical purposes, the data for United States of America do not include this area.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2010,Population density,303.7,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2015,Population mid-year estimates (millions),0.10,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2015,Population mid-year estimates for males (millions),0.05,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2015,Population mid-year estimates for females (millions),0.05,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2015,Sex ratio (males per 100 females),92.3,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2015,Population aged 0 to 14 years old (percentage),19.5,"For statistical purposes, the data for United States of America do not include this area.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2015,Population aged 60+ years old (percentage),23.9,"For statistical purposes, the data for United States of America do not include this area.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2015,Population density,286.4,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2022,Population mid-year estimates (millions),0.09,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2022,Population mid-year estimates for males (millions),0.04,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2022,Population mid-year estimates for females (millions),0.05,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2022,Sex ratio (males per 100 females),92.3,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2022,Population aged 0 to 14 years old (percentage),16.5,"Calculated by the UN Statistics Division.;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2022,Population aged 60+ years old (percentage),29.5,"Calculated by the UN Statistics Division.;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2022,Population density,247.2,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2022,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
850,United States Virgin Islands,2024,Population mid-year estimates (millions),0.08,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2024,Population mid-year estimates for males (millions),0.04,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2024,Population mid-year estimates for females (millions),0.04,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
850,United States Virgin Islands,2024,Sex ratio (males per 100 females),90.9,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2024,Population aged 0 to 14 years old (percentage),16.5,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2024,Population aged 60+ years old (percentage),30.5,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.;Calculated by the UN Statistics Division.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
850,United States Virgin Islands,2024,Population density,242.6,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2010,Population mid-year estimates (millions),3.32,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2010,Population mid-year estimates for males (millions),1.61,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2010,Population mid-year estimates for females (millions),1.71,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2010,Sex ratio (males per 100 females),93.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2010,Population aged 0 to 14 years old (percentage),22.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2010,Population aged 60+ years old (percentage),18.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2010,Population density,19.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2015,Population mid-year estimates (millions),3.37,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2015,Population mid-year estimates for males (millions),1.63,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2015,Population mid-year estimates for females (millions),1.74,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2015,Sex ratio (males per 100 females),94.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2015,Population aged 0 to 14 years old (percentage),21.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2015,Population aged 60+ years old (percentage),19.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
858,Uruguay,2015,Population density,19.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2022,Population mid-year estimates (millions),3.39,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2022,Population mid-year estimates for males (millions),1.64,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
858,Uruguay,2022,Population mid-year estimates for females (millions),1.75,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
