T03,Population growth and indicators of fertility and mortality,,,,,
678,Sao Tome and Principe,2024,"Under five mortality rate for both sexes (per 1,000 live births)",13.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
678,Sao Tome and Principe,2024,Life expectancy at birth for both sexes (years),69.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
678,Sao Tome and Principe,2024,Life expectancy at birth for males (years),66.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
678,Sao Tome and Principe,2024,Life expectancy at birth for females (years),73.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2010,Population annual rate of increase (percent),3.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2010,Total fertility rate (children per women),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",12.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2010,"Maternal mortality ratio (deaths per 100,000 population)",15,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
682,Saudi Arabia,2010,Life expectancy at birth for both sexes (years),75.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2010,Life expectancy at birth for males (years),74.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2010,Life expectancy at birth for females (years),78.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2015,Population annual rate of increase (percent),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2015,Total fertility rate (children per women),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",9.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2015,"Maternal mortality ratio (deaths per 100,000 population)",16,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
682,Saudi Arabia,2015,Life expectancy at birth for both sexes (years),77.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2015,Life expectancy at birth for males (years),76.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2015,Life expectancy at birth for females (years),79.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2020,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",7.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2020,"Maternal mortality ratio (deaths per 100,000 population)",16,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
682,Saudi Arabia,2020,Life expectancy at birth for both sexes (years),77.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2020,Life expectancy at birth for males (years),76.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2020,Life expectancy at birth for females (years),80.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2024,Population annual rate of increase (percent),1.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2024,Total fertility rate (children per women),2.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2024,"Under five mortality rate for both sexes (per 1,000 live births)",7.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
682,Saudi Arabia,2024,Life expectancy at birth for both sexes (years),79.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2024,Life expectancy at birth for males (years),77.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
682,Saudi Arabia,2024,Life expectancy at birth for females (years),81.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2010,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2010,Total fertility rate (children per women),5.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2010,"Under five mortality rate for both sexes (per 1,000 live births)",66.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2010,"Maternal mortality ratio (deaths per 100,000 population)",450,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
686,Senegal,2010,Life expectancy at birth for both sexes (years),64.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2010,Life expectancy at birth for males (years),62.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2010,Life expectancy at birth for females (years),66.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2015,Population annual rate of increase (percent),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2015,Total fertility rate (children per women),4.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2015,"Under five mortality rate for both sexes (per 1,000 live births)",51.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2015,"Maternal mortality ratio (deaths per 100,000 population)",321,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
686,Senegal,2015,Life expectancy at birth for both sexes (years),66.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2015,Life expectancy at birth for males (years),64.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2015,Life expectancy at birth for females (years),68.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2020,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2020,Total fertility rate (children per women),4.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2020,"Under five mortality rate for both sexes (per 1,000 live births)",40.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2020,"Maternal mortality ratio (deaths per 100,000 population)",261,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
686,Senegal,2020,Life expectancy at birth for both sexes (years),67.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2020,Life expectancy at birth for males (years),65.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2020,Life expectancy at birth for females (years),69.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2024,Population annual rate of increase (percent),2.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2024,Total fertility rate (children per women),3.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2024,"Under five mortality rate for both sexes (per 1,000 live births)",34.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
686,Senegal,2024,Life expectancy at birth for both sexes (years),68.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2024,Life expectancy at birth for males (years),67.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
686,Senegal,2024,Life expectancy at birth for females (years),71.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2010,Population annual rate of increase (percent),-0.4,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2010,Total fertility rate (children per women),1.4,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",7.7,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2010,"Maternal mortality ratio (deaths per 100,000 population)",14,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
688,Serbia,2010,Life expectancy at birth for both sexes (years),74.4,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2010,Life expectancy at birth for males (years),71.2,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2010,Life expectancy at birth for females (years),77.6,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2015,Population annual rate of increase (percent),-0.7,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2015,Total fertility rate (children per women),1.5,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",6.3,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2015,"Maternal mortality ratio (deaths per 100,000 population)",13,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
688,Serbia,2015,Life expectancy at birth for both sexes (years),75.7,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2015,Life expectancy at birth for males (years),72.5,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2015,Life expectancy at birth for females (years),78.8,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2020,Population annual rate of increase (percent),-0.9,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2020,Total fertility rate (children per women),1.5,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",5.6,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2020,"Maternal mortality ratio (deaths per 100,000 population)",10,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
688,Serbia,2020,Life expectancy at birth for both sexes (years),74.5,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2020,Life expectancy at birth for males (years),71.1,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2020,Life expectancy at birth for females (years),78.1,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2024,Population annual rate of increase (percent),-0.7,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2024,Total fertility rate (children per women),1.5,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2024,"Under five mortality rate for both sexes (per 1,000 live births)",4.7,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
688,Serbia,2024,Life expectancy at birth for both sexes (years),76.9,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2024,Life expectancy at birth for males (years),73.7,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
688,Serbia,2024,Life expectancy at birth for females (years),80.2,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2010,Population annual rate of increase (percent),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2010,Total fertility rate (children per women),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2010,"Under five mortality rate for both sexes (per 1,000 live births)",14.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2010,"Maternal mortality ratio (deaths per 100,000 population)",8,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
690,Seychelles,2010,Life expectancy at birth for both sexes (years),72.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2010,Life expectancy at birth for males (years),69.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2010,Life expectancy at birth for females (years),76.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2015,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2015,Total fertility rate (children per women),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2015,"Under five mortality rate for both sexes (per 1,000 live births)",14.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2015,"Maternal mortality ratio (deaths per 100,000 population)",5,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
690,Seychelles,2015,Life expectancy at birth for both sexes (years),72.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2015,Life expectancy at birth for males (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2015,Life expectancy at birth for females (years),76.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2020,Population annual rate of increase (percent),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2020,Total fertility rate (children per women),2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2020,"Under five mortality rate for both sexes (per 1,000 live births)",14.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2020,"Maternal mortality ratio (deaths per 100,000 population)",3,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
690,Seychelles,2020,Life expectancy at birth for both sexes (years),74.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2020,Life expectancy at birth for males (years),70.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2020,Life expectancy at birth for females (years),78.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2024,Population annual rate of increase (percent),1.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2024,Total fertility rate (children per women),2.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2024,"Under five mortality rate for both sexes (per 1,000 live births)",12.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
690,Seychelles,2024,Life expectancy at birth for both sexes (years),73.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2024,Life expectancy at birth for males (years),70.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
690,Seychelles,2024,Life expectancy at birth for females (years),76.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2010,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
694,Sierra Leone,2010,Total fertility rate (children per women),5.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
694,Sierra Leone,2010,"Under five mortality rate for both sexes (per 1,000 live births)",161.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
